file_path,class_name,method_name,http_method,endpoint_url,flat_permissions,inferred_page_slug,inferred_crud_action
SMBackend/src/main/java/com/School/School_management/Controller/AboutSchoolController.java,AboutSchoolController,delete,DELETE,/api/about-schools/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,about-schools,delete
SMBackend/src/main/java/com/School/School_management/Controller/AboutSchoolController.java,AboutSchoolController,update,PUT,/api/about-schools/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,about-schools,edit
SMBackend/src/main/java/com/School/School_management/Controller/AcademicYearController.java,AcademicYearController,delete,DELETE,/api/academic-years/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,academic-year,delete
SMBackend/src/main/java/com/School/School_management/Controller/AcademicYearController.java,AcademicYearController,update,PUT,/api/academic-years/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,academic-year,edit
SMBackend/src/main/java/com/School/School_management/Controller/AdmitCardSettingController.java,AdmitCardSettingController,delete,DELETE,/api/admit-card-settings/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,admit-card-setting,delete
SMBackend/src/main/java/com/School/School_management/Controller/AdmitCardSettingController.java,AdmitCardSettingController,getById,GET,/api/admit-card-settings/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,admit-card-setting,view
SMBackend/src/main/java/com/School/School_management/Controller/AdmitCardSettingController.java,AdmitCardSettingController,update,PUT,/api/admit-card-settings/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,admit-card-setting,edit
SMBackend/src/main/java/com/School/School_management/Controller/AssignmentController.java,AssignmentController,createAssignment,POST,/api/assignments,ASSIGNMENT_MANAGE|ASSIGNMENT_MANAGE_ASSIGNED|*,assignment,add
SMBackend/src/main/java/com/School/School_management/Controller/AssignmentController.java,AssignmentController,deleteAssignment,DELETE,/api/assignments/{id},ASSIGNMENT_MANAGE|ASSIGNMENT_MANAGE_ASSIGNED|*|/{id},assignment,delete
SMBackend/src/main/java/com/School/School_management/Controller/AssignmentController.java,AssignmentController,getAllAssignments,GET,/api/assignments,ASSIGNMENT_MANAGE|ASSIGNMENT_VIEW_OWN|ASSIGNMENT_VIEW_CHILD|ASSIGNMENT_MANAGE_ASSIGNED|*,assignment,view
SMBackend/src/main/java/com/School/School_management/Controller/AssignmentController.java,AssignmentController,getAssignmentById,GET,/api/assignments/{id},ASSIGNMENT_MANAGE|ASSIGNMENT_VIEW_OWN|ASSIGNMENT_VIEW_CHILD|ASSIGNMENT_MANAGE_ASSIGNED|*|/{id},assignment,view
SMBackend/src/main/java/com/School/School_management/Controller/AssignmentController.java,AssignmentController,getAssignmentsForStudent,GET,/api/assignments/student/{studentId},ASSIGNMENT_MANAGE|ASSIGNMENT_VIEW_OWN|ASSIGNMENT_VIEW_CHILD|ASSIGNMENT_MANAGE_ASSIGNED|*|/student/{studentId},assignment,view
SMBackend/src/main/java/com/School/School_management/Controller/AssignmentController.java,AssignmentController,updateAssignment,PUT,/api/assignments/{id},ASSIGNMENT_MANAGE|ASSIGNMENT_MANAGE_ASSIGNED|*|/{id},assignment,edit
SMBackend/src/main/java/com/School/School_management/Controller/AwardController.java,AwardController,delete,DELETE,/api/awards/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,awards,delete
